Project Name,Project Identifier,Parent,Identifier,Name,State Name,Priority,Assignees,Subscribers,Created By Name,Start Date,Target Date,Completed At,Created At,Updated At,Archived At,Estimate,Labels,Cycle Name,Cycle Start Date,Cycle End Date,Module Name,Links,Relations,Comments,Issue Type,Is Epic,Total Time Logged,Worklogs,Custom Properties,Customers,Initiatives
CEO Gala,CEOG,,CEOG-1,1.1 Project Foundation & Database Setup,Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 1: Core Registration,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-2,1.2 Admin Authentication & Session Management,Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 1: Core Registration,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-3,1.3 Email Service Setup & Magic Link Sender,Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 1: Core Registration,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-4,1.4 CSV Guest List Import,Done,medium,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 1: Core Registration,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-5,1.5 Magic Link Validation & Registration Landing,Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 1: Core Registration,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-6,1.6 VIP Guest Registration (Instant Confirmation),Done,medium,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 1: Core Registration,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-7,1.7 Paid Guest Registration Form,Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 1: Core Registration,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-8,1.8 Admin Guest List Dashboard,Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 1: Core Registration,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-9,1.9 Admin Guest CRUD Operations,Done,medium,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 1: Core Registration,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-10,2.1 Stripe Checkout Session Integration,Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 2: Payment & Ticketing,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-11,2.2 Stripe Webhook Handler & Payment Confirmation,Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 2: Payment & Ticketing,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-12,2.3 QR Code JWT Generation & Storage,Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 2: Payment & Ticketing,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-13,2.4 E-Ticket Email Delivery with QR Code,Done,medium,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 2: Payment & Ticketing,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-14,2.5 Manual Bank Transfer Payment Approval,Done,medium,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 2: Payment & Ticketing,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-15,2.6 Payment Status Dashboard for Guests,Done,low,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 2: Payment & Ticketing,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-16,3.1 QR Code Validation API & JWT Verification,Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 3: Check-in System,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-17,3.2 Mobile QR Scanner Interface,Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 3: Check-in System,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-18,3.3 Check-in Recording & Duplicate Prevention,Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 3: Check-in System,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-19,3.4 Admin Check-in Log Dashboard,Done,medium,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 3: Check-in System,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-20,4.1 Table CRUD Operations,Done,medium,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 4: Seating Management,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-21,4.2 Manual Guest-to-Table Assignment,Done,medium,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 4: Seating Management,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-22,4.3 Bulk CSV Table Assignment,Done,low,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 4: Seating Management,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-23,4.4 Interactive Drag-and-Drop Seating Map,Done,medium,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 4: Seating Management,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-24,4.5 Seating Arrangement Export & Reports,Done,low,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 4: Seating Management,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-25,5.1 Data Model Extension,Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 5: Guest Profile Extension,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-26,5.2 Validation Layer (Zod Schemas),Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 5: Guest Profile Extension,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-27,5.3 VIP Registration Profile Fields,Done,medium,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 5: Guest Profile Extension,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-28,5.4 Paying Registration Billing Form,Done,medium,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 5: Guest Profile Extension,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-29,6.1 PWA Basics (manifest + service worker),Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 6: PWA Guest App,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-30,6.2 QR-based Authentication,Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 6: PWA Guest App,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-31,6.3 Guest Profile View/Edit,Done,medium,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 6: PWA Guest App,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-32,6.4 QR Code Display Offline,Done,high,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 6: PWA Guest App,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-33,6.5 Table Number Display,Done,low,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 6: PWA Guest App,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-34,6.6 Push Notification Integration (Firebase),Done,medium,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 6: PWA Guest App,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-35,6.7 Offline Cache Strategy,Done,medium,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 6: PWA Guest App,,,,,False,0h 0m,,,,
CEO Gala,CEOG,,CEOG-36,6.8 MyForgeLabs Branding Footer,Done,low,,,,,,,2025-11-27T10:00:00.000Z,2025-12-15T10:00:00.000Z,,,,,,Epic 6: PWA Guest App,,,,,False,0h 0m,,,,
